finished_first_q1,finished_first_q2,dif_seconds_quali_first_second,dif_seconds_quali_second_third,dif_seconds_quali_third_fourth,dif_seconds_qualif_fourth_fifth,isAmericas,isAustralia,isEurope,is_reigning_constructor_champion,is_reigning_driver_champion,driverAge,hadRain,avg_temp,avg_humidity,avg_pressure,avg_wind_speed,constructorPositionPreRace,driverPositionPreRace,is_leader_25_percent_through,is_leader_50_percent_through,finishedFirst
1,0,0.40500000000000114,0.46999999999999886,0.9629999999999939,1.0420000000000016,0,0,1,0.0,0.0,11316,0,66.6,45.830000000000005,1027.7,5.983333333333333,2.0,1.0,1,1,1
1,1,0.4129999999999967,0.04999999999999716,0.1670000000000016,0.14700000000000557,0,0,1,0.0,0.0,10065,1,87.26666666666667,48.79,1009.4333333333334,5.083333333333333,3.0,5.0,1,1,1
0,1,0.2980000000000018,0.02199999999999136,0.3119999999999976,0.013999999999995794,0,0,1,0.0,0.0,11915,0,64.03333333333333,51.26166666666666,1024.5666666666666,6.05,2.0,7.0,1,1,1
1,0,0.12299999999999045,0.11400000000000432,0.05700000000000216,0.23599999999999,0,0,1,0.0,0.0,10107,0,81.8,44.685,1017.7666666666665,3.3166666666666664,2.0,5.0,1,0,1
0,1,0.4420000000000073,0.10099999999999909,0.033999999999991815,0.27700000000001523,0,0,0,0.0,0.0,10121,0,84.41666666666667,75.37666666666667,1009.1,4.666666666666667,2.0,2.0,0,0,0
0,1,0.2510000000000048,0.19999999999998863,0.4100000000000108,0.1979999999999933,0,0,0,1.0,1.0,9228,0,75.38333333333334,49.711666666666666,1014.6833333333334,9.283333333333333,1.0,2.0,1,1,1
0,0,0.07400000000001228,0.1529999999999916,0.06499999999999773,0.09100000000000819,0,0,0,0.0,0.0,13197,0,70.05,68.70333333333333,1018.0333333333333,10.233333333333333,1.0,5.0,0,0,0
1,1,0.04399999999999693,0.21699999999999875,0.11499999999999488,0.11400000000000432,0,0,0,1.0,1.0,9249,0,81.85000000000001,32.803333333333335,1014.04,4.683333333333334,1.0,1.0,1,1,1
1,1,0.3480000000000132,0.09499999999999886,0.1529999999999916,0.033999999999991815,0,0,0,0.0,0.0,10163,0,85.60000000000001,52.870000000000005,1012.2666666666668,12.833333333333334,3.0,5.0,1,0,0
1,1,0.10899999999999466,0.40800000000001546,0.4129999999999967,0.12099999999999511,1,0,0,1.0,1.0,9270,0,71.35000000000001,40.193333333333335,1023.3333333333334,9.366666666666667,1.0,1.0,1,1,0
1,0,0.05500000000000682,0.06799999999999784,0.17900000000000205,0.22699999999998965,1,0,0,0.0,0.0,10184,0,67.51666666666667,76.67166666666667,1017.1166666666667,12.033333333333333,3.0,4.0,0,0,0
0,0,0.4200000000000017,0.2600000000000051,0.4029999999999916,0.0030000000000001137,0,1,0,1.0,1.0,9389,0,60.36666666666667,53.48333333333333,1023.5666666666666,16.0,1.0,1.0,0,0,0
