,raceId,q3_lap_time_difference
678,50,0.07799999999998875
679,50,0.24900000000000944
680,50,0.7399999999999949
698,51,0.0
699,51,0.13599999999999568
700,51,0.1770000000000067
701,51,0.35499999999998977
702,51,1.0430000000000064
720,52,0.0
721,52,0.15099999999999625
722,52,0.2400000000000091
723,52,0.033999999999991815
724,52,0.5720000000000027
742,53,0.0
743,53,0.047000000000011255
744,53,0.07099999999999795
745,53,0.1529999999999916
746,53,0.4620000000000033
764,54,0.0
765,54,0.14599999999998658
766,54,0.6400000000000148
767,54,0.04200000000000159
768,54,0.003999999999990678
786,55,0.0
787,55,0.4060000000000059
788,55,0.14299999999998647
789,55,0.04400000000001114
790,55,0.15399999999999636
808,56,0.0
809,56,0.19299999999999784
810,56,0.2540000000000049
811,56,0.45999999999999375
812,56,0.007000000000005002
830,57,0.0
831,57,0.21199999999998909
832,57,0.3790000000000049
833,57,0.3470000000000084
834,57,0.17899999999998784
852,58,0.0
853,58,0.06100000000000705
854,58,0.2609999999999957
855,58,0.4720000000000084
856,58,0.44299999999999784
874,59,0.0
875,59,0.11999999999999034
876,59,0.058000000000006935
877,59,0.5240000000000009
878,59,1.1400000000000006
896,60,0.0
897,60,0.14399999999999125
898,60,0.1770000000000067
899,60,0.18999999999999773
900,60,0.15500000000000114
918,61,0.0
919,61,0.23599999999999
920,61,0.2079999999999984
921,61,0.5820000000000078
922,61,0.018000000000000682
940,62,0.0
941,62,0.6030000000000086
942,62,0.48499999999999943
943,62,0.18899999999999295
944,62,0.3400000000000034
962,63,0.0
963,63,0.017000000000010118
964,63,0.2749999999999915
965,63,0.2510000000000048
966,63,0.05500000000000682
984,64,0.0
985,64,0.13500000000000512
986,64,0.3640000000000043
987,64,0.29299999999999216
988,64,0.03200000000001069
1006,65,0.0
1007,65,0.28699999999999193
1008,65,0.19900000000001228
1009,65,0.006999999999990791
1010,65,0.025000000000005684
1028,66,0.0
1029,66,0.37699999999999534
1030,66,0.03700000000000614
1031,66,0.242999999999995
1032,66,0.005000000000009663
1050,67,0.0
1051,67,0.001999999999995339
1052,67,0.16699999999998738
1053,67,0.051000000000016144
1054,67,0.30699999999998795
1072,68,0.0
1073,68,0.6319999999999908
1074,68,0.5110000000000099
1075,68,0.0
1076,68,0.25099999999999056
1094,69,0.0
1095,69,0.11199999999999477
1096,69,0.2780000000000058
1097,69,0.04999999999999716
1098,69,0.33199999999999363
1116,70,0.0
1117,70,0.6189999999999998
1118,70,0.028999999999996362
1119,70,0.23900000000000432
