@relation dataset_scaled

@attribute finished_first_q1 numeric
@attribute finished_first_q2 numeric
@attribute dif_seconds_quali_first_second numeric
@attribute dif_seconds_quali_second_third numeric
@attribute dif_seconds_quali_third_fourth numeric
@attribute dif_seconds_qualif_fourth_fifth numeric
@attribute isAmericas numeric
@attribute isAustralia numeric
@attribute isEurope numeric
@attribute is_reigning_constructor_champion numeric
@attribute is_reigning_driver_champion numeric
@attribute driverAge numeric
@attribute hadRain numeric
@attribute avg_temp numeric
@attribute avg_humidity numeric
@attribute avg_pressure numeric
@attribute avg_wind_speed numeric
@attribute finishedFirst {n,y}

@data
1.135369,1.074436,0.991601,-0.284569,-0.701255,1.493564,0,0,0,-0.741798,-0.741798,0.075298,2.204541,0.354792,0.900272,-0.330456,-0.621493,n
1.135369,-0.930721,-0.073704,5.727657,-0.559632,-0.372362,0,0,0,-0.741798,-0.741798,0.094306,-0.453609,-1.897798,0.40908,0.988863,-0.067293,n
1.135369,1.074436,0.116235,0.270141,-0.121488,1.165958,0,0,0,-0.741798,-0.741798,0.219899,-0.453609,0.22118,0.482803,-0.208419,-1.18409,y
-0.880771,-0.930721,-0.986232,-0.239779,-0.652572,-0.94211,0,0,0,-0.741798,-0.741798,0.229404,-0.453609,1.295724,0.631244,-0.713058,-0.902792,y
-0.880771,1.074436,-0.201705,0.65258,0.900849,0.045453,0,0,0,-0.741798,-0.741798,0.122819,2.204541,-0.774326,2.551469,-0.436001,-1.503175,n
1.135369,1.074436,-0.189318,-0.098517,0.02456,-0.225177,0,0,0,-0.741798,-0.741798,0.24366,-0.453609,-0.375371,0.284403,0.250045,-0.587905,y
-0.880771,1.074436,0.537402,0.783505,0.458279,-0.780682,0,0,0,-0.741798,-0.741798,0.141828,-0.453609,0.006648,-0.952419,1.605645,1.570116,n
1.135369,1.074436,-0.878876,-0.153644,-0.608315,2.001589,0,0,0,-0.741798,-0.741798,0.14658,-0.453609,0.151551,0.112641,0.362187,0.873168,y
-0.880771,-0.930721,-1.671661,-1.135583,-4.356885,-0.96585,0,0,0,-0.741798,-0.741798,0.156085,-0.453609,0.71611,0.561721,-0.426106,-0.252027,n
1.135369,1.074436,1.437543,1.93427,-0.692403,-0.809169,0,0,0,1.348076,1.348076,0.348208,-0.453609,-1.201509,0.02676,0.474329,1.175458,y
1.135369,-0.930721,-0.709583,0.535437,4.631717,0.98079,0,0,0,1.348076,1.348076,0.357712,-0.453609,2.029651,0.169342,-1.296857,-0.445157,n
-0.880771,1.074436,-0.825198,2.147885,0.316657,-0.068496,0,0,0,1.348076,1.348076,0.367216,-0.453609,-0.55603,-1.028131,0.467732,-0.163858,y
1.135369,1.074436,0.68192,-0.305241,-0.431287,-0.234673,0,0,0,1.348076,1.348076,0.371968,-0.453609,0.480877,-1.268754,-0.693268,1.637292,y
-0.880771,1.074436,0.087331,0.945439,0.17946,1.132723,0,0,0,-0.741798,-0.741798,0.270136,-0.453609,0.813967,-0.858248,1.727682,0.100646,y
-0.880771,-0.930721,0.397013,0.597454,-0.015271,-0.296396,0,0,0,1.348076,1.348076,0.395729,-0.453609,-0.810081,0.381227,0.217062,-0.407371,n
-0.880771,1.074436,0.260753,0.26325,-0.475544,-0.529043,0,0,0,1.348076,1.348076,0.405234,-0.453609,-0.480755,-1.706781,0.5304,-1.016151,y
-0.880771,-0.930721,-0.189318,-0.277678,0.825613,-0.55753,0,0,0,1.348076,1.348076,0.414738,-0.453609,-1.735958,-0.507318,0.698613,-1.326839,n
-0.880771,-0.930721,-0.548549,1.682755,-0.581761,0.126168,0,0,0,1.348076,1.348076,0.424242,-0.453609,-0.979449,0.341768,0.289624,-0.197446,y
1.135369,1.074436,1.35909,-0.315578,-0.710106,0.202134,0,0,0,1.348076,1.348076,0.438499,-0.453609,0.176015,-1.312744,-0.247998,0.638052,n
1.135369,-0.930721,0.875987,2.227129,-0.758789,-0.785429,0,0,0,1.348076,1.348076,0.457507,-0.453609,-0.230467,-0.846753,-1.936726,1.700269,y
1.135369,1.074436,-0.048929,-0.625664,-0.785343,0.159403,0,0,0,1.348076,1.348076,0.467012,-0.453609,-0.382898,-1.123297,0.596366,-1.188289,y
-0.880771,1.074436,1.226959,0.011736,-0.519801,1.669236,0,0,0,-0.741798,-0.741798,-0.139228,-0.453609,1.399226,1.046724,-1.098959,-1.062334,y
-0.880771,1.074436,-0.701325,0.442411,0.113074,-0.529043,0,0,0,-0.741798,-0.741798,0.36518,-0.453609,0.734929,-0.099244,-0.656987,-0.38218,n
1.135369,1.074436,0.306173,0.838632,-0.630444,0.852597,0,0,0,-0.741798,-0.741798,0.374684,-0.453609,-1.04155,-0.658411,0.790965,-1.192487,n
-0.880771,1.074436,-1.015136,-0.811715,-0.865006,-0.96585,0,0,0,-0.741798,-0.741798,0.384188,2.204541,-1.254201,1.960469,0.253343,2.094927,n
1.135369,-0.930721,-0.238867,-0.184652,1.560279,-0.961102,0,0,0,-0.741798,-0.741798,0.38894,-0.453609,-0.311387,-0.429615,0.721701,-0.923784,y
