circuitId,circuitRef,name,location,country,continent,lat,lng,alt,url,track_difficulty
57,zeltweg,Zeltweg,Styria,Austria,Europe,47.2039,14.7478,676,http://en.wikipedia.org/wiki/Zeltweg_Airfield,1
58,aintree,Aintree,Liverpool,UK,Europe,53.4769,-2.94056,20,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit,
59,boavista,Circuito da Boavista,Oporto,Portugal,Europe,41.1705,-8.67325,28,http://en.wikipedia.org/wiki/Circuito_da_Boavista,4
60,riverside,Riverside International Raceway,California,USA,Americas,33.937,-117.273,470,http://en.wikipedia.org/wiki/Riverside_International_Raceway,
61,avus,AVUS,Berlin,Germany,Europe,52.4806,13.2514,53,http://en.wikipedia.org/wiki/AVUS,
62,monsanto,Monsanto Park Circuit,Lisbon,Portugal,Europe,38.7197,-9.20306,158,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit,
63,sebring,Sebring International Raceway,Florida,USA,Americas,27.4547,-81.3483,18,http://en.wikipedia.org/wiki/Sebring_Raceway,
64,ain-diab,Ain Diab,Casablanca,Morocco,Africa,33.5786,-7.6875,19,http://en.wikipedia.org/wiki/Ain-Diab_Circuit,
65,pescara,Pescara Circuit,Pescara,Italy,Europe,42.475,14.1508,129,http://en.wikipedia.org/wiki/Pescara_Circuit,
66,bremgarten,Circuit Bremgarten,Bern,Switzerland,Europe,46.9589,7.40194,551,http://en.wikipedia.org/wiki/Circuit_Bremgarten,
67,pedralbes,Circuit de Pedralbes,Barcelona,Spain,Europe,41.3903,2.11667,85,http://en.wikipedia.org/wiki/Pedralbes_Circuit,
68,buddh,Buddh International Circuit,Uttar Pradesh,India,Asia,28.3487,77.5331,194,http://en.wikipedia.org/wiki/Buddh_International_Circuit,
69,americas,Circuit of the Americas,Austin,USA,Americas,30.1328,-97.6411,161,http://en.wikipedia.org/wiki/Circuit_of_the_Americas,2
70,red_bull_ring,Red Bull Ring,Spielberg,Austria,Europe,47.2197,14.7647,678,http://en.wikipedia.org/wiki/Red_Bull_Ring,
71,sochi,Sochi Autodrom,Sochi,Russia,Asia,43.4057,39.9578,2,http://en.wikipedia.org/wiki/Sochi_Autodrom,
73,baku,Baku City Circuit,Baku,Azerbaijan,Asia,40.3725,49.8533,-7,http://en.wikipedia.org/wiki/Baku_City_Circuit,5
75,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,Europe,37.227,-8.6267,108,http://en.wikipedia.org/wiki/Algarve_International_Circuit,
76,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,Europe,43.9975,11.3719,255,http://en.wikipedia.org/wiki/Mugello_Circuit,
77,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,Asia,21.6319,39.1044,15,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit,4
78,losail,Losail International Circuit,Al Daayen,Qatar,Asia,25.49,51.4542,12,http://en.wikipedia.org/wiki/Losail_International_Circuit,3
79,miami,Miami International Autodrome,Miami,USA,Americas,25.9581,-80.2389,0,http://en.wikipedia.org/wiki/Miami_International_Autodrome,3
